Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 27 February 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 417," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 20 March 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 418," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 16 April 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 419," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 29 May 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv, HAB BA n. 420," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 10 July 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv, HAB BA n. 421," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 24 June 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 422," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 7 August 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv, HAB BA n. 423," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 4 September 1666,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 424," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Auersperg, Johann Weickard von", Letter to Auersperg, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p.139."," Notes: Dedicatory letter for section entitled ""Sectio IV. Astrologia Aegyptiorum & Chaldaeorum hieroglyphica"" (of Class. VII. Mathematica Hieroglyphica), Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p.139.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Antonio", Letter to Barberini, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.303."," Notes: Dedication of Syntagma VI. Obeliscus Constantinopolitanus a Theodosio Imperatore in Hippodromo Byzantino erectus. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.303.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Francesco", Letter to Barberini, 2 August 1636,Printed copy,,,"Published in: Athanasius Kircher,  Prodomus coptus, Rome,  Typis S. Cong. de propag. Fide 1636, sig. ‚† 2 recto - sig ‚†† 2 recto. "," Notes: Dedicatory letter. Published in: Athanasius Kircher,  Prodomus coptus, Rome,  Typis S. Cong. de propag. Fide 1636, sig. ‚† 2 recto - sig ‚†† 2 recto. ",,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Francesco", Letter to Barberini, 6 March 1653,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Barb. Lat. 6467 f. 37r-v," Notes: Autograph, Italian, Consulted.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Francesco", Letter to Barberini, 21 November 1666,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Barb. Lat. 6467 f. 38r-v," Notes: Autograph, Italian.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Francesco", Letter to Barberini, 14 December 1667,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Barb. Lat. 6467 f. 39r-v," Notes: Autograph, Italian, Consulted.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Barberini, Francesco", Letter to Barberini, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 271."," Notes: Dedication of Syntagma V. Obeliscus olim Veranus modo Barberinus.Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 271.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Billy, Jacques de", Letter to Billy, 21 February 1660,Letter,Paris, Bibliothèque Nationale,"BN Lat. 8600, f.29r 30v. "," Notes: Autograph, Latin.",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Brancacci, Francesco Maria", Letter to Brancacci, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 435."," Notes: Dedicatory letter for Syntagma XIV. De canopis Hieroglyphicis. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 435.",,,,," Notes: Dedicatory letter for Syntagma XIV. De canopis Hieroglyphicis. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 435.",,,,,,,,,
"Kircher, Athanasius"," Buxtorf, Johann", Letter to Buxtorf, 6 January 1638,,Basel, Öffentliche Bibliothek der Universität,to be checked," Notes: Cited in Fletcher, AK und…, p. 153",,,,,,,,,,,,,,
"Kircher, Athanasius"," Buxtorf, Johann", Letter to Buxtorf, 2 January 1639,,Basel, Öffentliche Bibliothek der Universität,to be checked," Notes: Cited in Fletcher, AK und…, p. 153",,,,,,,,,,,,,,
"Kircher, Athanasius"," Carlo III Gonzaga, Duke of Mantua and Montserrat", Letter to Carlo III Gonzaga, 10 February 1650,Printed copy,,,"Published in C. Lozzi, ed., Il Bibliofilo, Florence,  V (1884) pp. 56-57."," Notes: Cited in Fletcher ""Kircher and Duke August..."" p. 156",,,,,,,,,,,,,,
"Kircher, Athanasius","De Cambis, Jean  D'Orsan, De Langes, Siffredy, Bartholomé and Carre, Pierre",, 10 May 1633,Printed copy,,,"Published in: Athanasius Kircher,  Primitiae Gnomomicae Catoptricae,  Avignon: I. Piot; 1635, following titlepage (pp. non-num.).Copy consulted: BAV Barberini.N.III.17"," Notes: Dedication of work.  Published in:  Athanasius Kircher,  Primitiae Gnomomicae Catoptricae,  Avignon: I. Piot; 1635, following titlepage (pp. non-num.).Copy consulted: BAV Barberini.N.III.17",,,,,,,,,,,,,,
"Kircher, Athanasius"," Chigi, Flavio", Letter to Chigi, 13 December 1666,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Chigi R. V. g f.460r-v," Notes: Autograph, Italian. Cit. Fletcher, AK und…p. 156. Findlen suggests Flavio Chigi as recipient.",Italian,,,,,,,,,,,,,
