Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius"," Wiegand, Melchior", Letter to Wiegand, 7 December 1664,Letter, Fulda, Hessische Landesbibliothek,Ser. B. VIII.8," Notes: Cit. Fletcher, AK und…, p. 155. Published in Seng,  Selbstbiographie des P. Athanasius Kircher, fulda 1901",,,,,,,,,,,,,,
"Kircher, Athanasius"," Witzel, Konrad", Letter to Witzel, January 1664-31 January 1664,Letter, Geisa (Rhön), Pfarrarchiv,to be checked," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Kircher, Athanasius"," Witzel, Konrad", Letter to Witzel, 7 May 1665,Letter, Geisa (Rhön), Pfarrarchiv,to be checked," Notes: Cit. Fletcher, AK und…, p. 155",,,,,,,,,,,,,,
"Kircher, Athanasius"," Orsucci, Gian Battista", Letter to Orsucci, 14 May 1666,Letter,Lucca,Archivio di Stato,"ASLu: n. 47, let.n.164, c.417.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Orsucci, Gian Battista", Letter to Orsucci, to be checked,Letter,Lucca,Archivio di Stato,"ASLu: n. 47, let.n.169, c.432."," Notes: Busti in Lo Sardo 2001, p. 350.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Orsucci, Gian Battista", Letter to Orsucci,to be checked,Letter,Lucca,Archivio di Stato,"ASLu: n. 47, lt.n. 280, c. 742","Notes: Findlen 204, p. 98.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Orsucci, Gian Battista", Letter to Orsucci, 15 December 1668,Letter,Lucca,Archivio di Stato,"ASLu: n. 47, let.n. 269, c. 683","Notes: Busti in Lo Sardo 2001, p. 350.",,,,,,,,,,,,,,
"Kircher, Athanasius "," Mersenne, Marin"," Letter to Mersenne, Marin", 23 December 1639,Letter,Cambridge Mass.," Harvard University, Houghton Library",Fms. Lat. 306.1 (3)," Notes: Findlen 2004, p. 258.",,,,,,,,,,,,,,
"Kircher, Athanasius "," Carl X Gustav, Swedish King", Letter to Carl Gustav, 28 February 1650,Letter,Stockholm,Riksarkivet,"Stegeborg (Stegeborgssamlingen), box E 146"," Notes: Letter has accompanied a dedicated copy of Musurgia Universalis, a gift from Kircher to the prince. There is a translation and a picture of the original available.",,,,,,,,,,,,,,
"Kircher, Athanasius "," Piccolomini, Ottavio", Letter to Piccolomini, 28 February 1650,Letter, Zámrsk,Státní oblastní archív,13668, Notes: Consulted by Suzanne Sutherland-Duchacek,,,,,,,,,,,,,,
" Piccolomini, Ottavio","Kircher, Athanasius ", Letter to Kircher, 9 May 1650,Letter, Zámrsk ,Státní oblastní archív,13737, Notes: Consulted by Suzanne Sutherland-Duchacek,,,,,,,,,,,,,,
"Kircher, Athanasius ","Compain, Mathieu", Letter to Compain, 19 November 1666,Printed copy,,,"Published in: Spon 1673, pp.208-211."," Notes: From Findlen 2004, p. 307.",,,,,,,,,,,,,,
"Kircher, Athanasius ", unidentified Jesuit,Letter to Jesuit,3 December 1672,Letter, Prague,Strahov monastery,"Miscellaneorum Iesuiticorum liber, DH I 22/dd,  p. 323-324"," Notes: Latin, Italian, Consulted on 22 October 2010. Iva Lelkova","Latin,Italian",,,,,,,,,,,,,
"Kircher, Athanasius ","Reisel, Salomon", Letter to Reisel , 12 March 1677,Printed copy,,,"Ephemerides, Dec. I, Annus Ix+X 1678+1679",,,,,,,,,,,,,,,
"Bernhardi de Bernitz, Sophianna Corbiniana","Kircher, Athanasius", Letter to Kircher, 11 July 1668,Scribal copy, Prague ,National Museum Library,VIII F 26 5b.,,,,,,,,,,,,,,,
"Kircher, Athanasius","Sachs von Löwenheim, Philipp JaKob", Letter to Sachs von Löwenheim, 18 July 1671,Printed copy,,,"Published in: Miscellanea curiosa medico-physica, Bibliopolae Wratislav 1671, Judicia medicorum XXIX.",,,,,,,,,,,,,,,
"Kircher, Athanasius","Golius, Jacobus", Letter to Golius,29 November 1652,Letter,Munich, Bayerische Staats- und Universitätsbibliothek, 2 Cod.ms. 652(31 ,Notes: In Kalliope,,,,,,,,,,,,,,
"Kircher, Athanasius","Johann Friedrich, Duke of Brunswick-Lüneburg", Letter to Johann Friedrich, n.d.,Letter,Hannover,Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek ,"MS XXIII, 344 ",Notes: In Kalliope,,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown,1670,Letter,Hannover,Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek , L Br. 473 ,Notes: In Kalliope,,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown,1675,Letter,Göttingen, Niedersächsische Staats- und Universitätsbibliothek,Philos. 138 m II 31,Notes: In Kalliope,,,,,,,,,,,,,,
